customer_name,year,asof_date,arr
Bradtke-Waters,2020,2020-01-01,1803.0
"Brekke, Hayes and Ankunding",2020,2020-01-01,219.0
Brown Group,2020,2020-01-01,577.78
Bruen-Oberbrunner,2020,2020-01-01,222.0
Buckridge Inc,2020,2020-01-01,406.0
Buckridge-SchamBundelr,2020,2020-01-01,1076.0
Bundel and Sons,2020,2020-01-01,205.0
"Bundel, Bechtelar and Swift",2020,2020-01-01,257.0
Campbelll LLC,2020,2020-01-01,5699.45
Campbelll-Donnelly,2020,2020-01-01,9757.72
Canten Inc,2020,2020-01-01,1953.0
"Cassin, O'Keefe and Toy",2020,2020-01-01,373.02
Cassle Inc,2020,2020-01-01,477.0
Cassle-Heaney,2020,2020-01-01,361.0
Champlin - Block,2020,2020-01-01,2488.0
"Champlin, Kihn and Kreiger",2020,2020-01-01,1979.0
Chechauski Inc,2020,2020-01-01,5696.61
Chechauski-Bergstrom,2020,2020-01-01,311.0
Chechauski-Shields,2020,2020-01-01,37663.0
"Cole, Ortiz and O'Reilly",2020,2020-01-01,148.41
Cole-Towne,2020,2020-01-01,4122.0
"Collins, Casper and Rogahn",2020,2020-01-01,1028.0
Collins-Dickinson,2020,2020-01-01,450.0
"Conroy, Pfannerstill and Sauer",2020,2020-01-01,231.0
Considine Group,2020,2020-01-01,4949.51
Cremin-Hilpert,2020,2020-01-01,88855.0
Cremin-Stracke,2020,2020-01-01,191.0
Cremin-Wolff,2020,2020-01-01,110.0
"Crist, Labadie and Weimann",2020,2020-01-01,199.55
"Crist, Ondricka and DuBuque",2020,2020-01-01,24741.79
"Cronin, Frost and Ratke",2020,2020-01-01,2206.0
Cummings - Kuphal,2020,2020-01-01,4170.57
D'Amore Group,2020,2020-01-01,91882.71
D'Amore Ltd,2020,2020-01-01,88.0
D'Amore and Sons,2020,2020-01-01,121.0
"D'Amore, Bechel and Bechel",2020,2020-01-01,4217.0
"D'Amore, Douglas and Hintz",2020,2020-01-01,3859.92
D'Amore-Ankunding,2020,2020-01-01,605.0
Dare and Sons,2020,2020-01-01,1838.03
Davis LLC,2020,2020-01-01,1405.0
Deckow - Deckow,2020,2020-01-01,1341.33
"Deckow, Murray and Mante",2020,2020-01-01,959.0
Denesik and Sons,2020,2020-01-01,8256.0
Dibbert Inc,2020,2020-01-01,769.0
Dibbert and Sons,2020,2020-01-01,515.0
"Dibbert, Boyer and Jacobson",2020,2020-01-01,158.0
"Dibbert, Flatley and Mitchell",2020,2020-01-01,30.0
Dibbert-Ferry,2020,2020-01-01,278.29
Dickens LLC,2020,2020-01-01,76.0
Dickens-McGlynn,2020,2020-01-01,96.0
Dicki PLC,2020,2020-01-01,28.0
Dicki-Johns,2020,2020-01-01,1132.0
"Dickinson, Maggio and Haley",2020,2020-01-01,187.0
"Dietrich, Larson and Murazik",2020,2020-01-01,4143.0
Donnelly Group,2020,2020-01-01,4404.07
Donnelly PLC,2020,2020-01-01,2912.0
"Donnelly, Keebler and Hettinger",2020,2020-01-01,109.0
Douglas-Legros,2020,2020-01-01,245.0
Douglas-Muller,2020,2020-01-01,13629.0
Doyle LLC,2020,2020-01-01,2486.0
"DuBuque, Jakubowski and Buckridge",2020,2020-01-01,167.0
"Ebert, Raynor and Mackerrel",2020,2020-01-01,73.0
"Effertz, Lebsack and Mosciski",2020,2020-01-01,424.0
Effertz-Lowe,2020,2020-01-01,790.0
Eichmann Ltd,2020,2020-01-01,235.0
Erdman Group,2020,2020-01-01,974.38
"Erdman, Bode and Beier",2020,2020-01-01,2340.0
Ernser Inc,2020,2020-01-01,376.0
Fadel Group,2020,2020-01-01,1560.0
Fadel Ltd,2020,2020-01-01,790.0
Fadel-Pfannerstill,2020,2020-01-01,575.0
"Fahey, Simonis and Dickens",2020,2020-01-01,189.0
Fahey-Ponting,2020,2020-01-01,1159.0
Farrell and Sons,2020,2020-01-01,308.0
"Farrell, Donnelly and Flatley",2020,2020-01-01,767.0
Feeney-Cremin,2020,2020-01-01,364.0
Feil Ltd,2020,2020-01-01,229.0
Feil-Reilly,2020,2020-01-01,202.0
Flatley Ltd,2020,2020-01-01,42678.37
Frami Group,2020,2020-01-01,18206.0
"Frami, Hackett and Rohan",2020,2020-01-01,1738.0
Friesen and Sons,2020,2020-01-01,321.0
Frost and Sons,2020,2020-01-01,1350.82
Gammendor - Frost,2020,2020-01-01,4288.0
"Gaverman, Kessler and Rolfson",2020,2020-01-01,5.0
"Gerlach, Reynolds and Cormier",2020,2020-01-01,492.0
Gerlach-Muller,2020,2020-01-01,2221.0
Gibson-King,2020,2020-01-01,219.0
Gillespie-Homenick,2020,2020-01-01,2317.0
"Gleason, Bartoletti and Stoltenberg",2020,2020-01-01,4820.0
Gleason-Douglas,2020,2020-01-01,101.0
Gleichner - Homenick,2020,2020-01-01,1580.0
"Gleichner, Nikolaus and Raynor",2020,2020-01-01,1728.27
Gleichner-Tillman,2020,2020-01-01,307.0
Glover Group,2020,2020-01-01,3063.0
Glover and Sons,2020,2020-01-01,2843.0
Goldner Ltd,2020,2020-01-01,12678.0
Goldner-Morissette,2020,2020-01-01,182.0
Goodwin and Sons,2020,2020-01-01,3970.0
"Goodwin, O'Reilly and Buckridge",2020,2020-01-01,23236.0
Gorczany-Lind,2020,2020-01-01,1665.0
Goyette-Kassulke,2020,2020-01-01,8.0
Grady-Kuphal,2020,2020-01-01,505.0
Graham and Sons,2020,2020-01-01,7914.5
Greenfelder Group,2020,2020-01-01,742.0
Gulgowski Group,2020,2020-01-01,289.0
Gusikowski Ltd,2020,2020-01-01,303.83
"Gusikowski, Mertz and Abbott",2020,2020-01-01,8717.0
Gutkowski-Gislason,2020,2020-01-01,7552.92
Gutmann LLC,2020,2020-01-01,1196.0
Gutmann-Rice,2020,2020-01-01,3471.0
"Hahn, Nienow and Baumbach",2020,2020-01-01,8790.91
Haley-Powlowski,2020,2020-01-01,2978.0
"Hamill, Rice and King",2020,2020-01-01,349.0
Hammes-Beier,2020,2020-01-01,664.0
Hammes-Campbelll,2020,2020-01-01,181.0
Hane - Oberbrunner,2020,2020-01-01,9497.0
"Hansen, Frami and Ritchie",2020,2020-01-01,2891.0
"Harber, Schiller and Nitzsche",2020,2020-01-01,916.0
Harris Inc,2020,2020-01-01,2735.0
Harris LLC,2020,2020-01-01,259.29
Harris and Sons,2020,2020-01-01,525.0
Harvey PLC,2020,2020-01-01,9358.0
Harvey and Sons,2020,2020-01-01,24844.0
"Hauck, Cronin and Kunde",2020,2020-01-01,2626.0
"Hauck, Nolan and Rath",2020,2020-01-01,1580.0
"Hayes, Orn and Cassin",2020,2020-01-01,160.0
Heathcote Inc,2020,2020-01-01,15364.0
Heathcote-Eichmann,2020,2020-01-01,216.0
Heidenreich-Herman,2020,2020-01-01,445.0
Heller and Sons,2020,2020-01-01,922.0
Herman Group,2020,2020-01-01,39365.0
"Hermann, Bogisich and Rosenbaum",2020,2020-01-01,1993.0
Hermiston Group,2020,2020-01-01,4982.0
Hessel and Sons,2020,2020-01-01,348.0
Hettinger LLC,2020,2020-01-01,440.0
Hettinger PLC,2020,2020-01-01,75.0
Hill Group,2020,2020-01-01,2225.26
"Hills, Rempel and Rempel",2020,2020-01-01,1012.23
Hilpert and Sons,2020,2020-01-01,13.04
Hilpert-Borer,2020,2020-01-01,2053.0
Hodkiewicz Group,2020,2020-01-01,2763.84
Hodkiewicz-Waelchi,2020,2020-01-01,138.0
Hoppe Ltd,2020,2020-01-01,1239.0
Hudson-Reichert,2020,2020-01-01,2766.58
Huels and Sons,2020,2020-01-01,612.0
Huels-Parker,2020,2020-01-01,41.0
Huels-Strosin,2020,2020-01-01,147.95
Jacobi-Butler,2020,2020-01-01,376.0
Jacobi-Tremblay,2020,2020-01-01,12010.0
Jakubowski-Schneider,2020,2020-01-01,1200.0
Jaskolski Group,2020,2020-01-01,1216.0
Jaskolski PLC,2020,2020-01-01,543.41
Jast-Steuber,2020,2020-01-01,896.0
Jenkins PLC,2020,2020-01-01,1106.03
"Jerde, Orn and Larson",2020,2020-01-01,1281.0
Johns Inc,2020,2020-01-01,304.0
"Johns, Keebler and Erdman",2020,2020-01-01,43.0
"Johnson, Farrell and Zieme",2020,2020-01-01,186.0
"Johnson, Keebler and Harber",2020,2020-01-01,60.0
"Johnston, Casper and Robel",2020,2020-01-01,17062.0
"Kassulke, Bernier and Kshlerin",2020,2020-01-01,775.0
Kassulke-Barton,2020,2020-01-01,2775.0
Kassulke-Beier,2020,2020-01-01,3909.0
"Kautzer, Haag andTruman",2020,2020-01-01,4590.0
"Kautzer, Mante and Agarwal",2020,2020-01-01,35046.0
Kautzer-Waters,2020,2020-01-01,927.0
"Keebler, Reichel and Butler",2020,2020-01-01,620.0
Keeling - Koelpin,2020,2020-01-01,1871.0
"Keeling, Jacobson and Boyer",2020,2020-01-01,5151.0
"Keeling, Jakubowski and Crist",2020,2020-01-01,5355.0
"Kerluke, Breitenberg and Romaguera",2020,2020-01-01,169.0
"Kerluke, Dach and Rogahn",2020,2020-01-01,636.0
Kiehn PLC,2020,2020-01-01,7068.0
Kilback Group,2020,2020-01-01,2167.0
"Kilback, Lockman and Okuneva",2020,2020-01-01,427.17
Kilback-Bednar,2020,2020-01-01,454.0
King and Sons,2020,2020-01-01,233.0
Kling and Sons,2020,2020-01-01,659.47
"Klocko, Howe and Tanner",2020,2020-01-01,2680.0
Koch Inc,2020,2020-01-01,362.0
Koch LLC,2020,2020-01-01,2195.0
Koelpin-Nitzsche,2020,2020-01-01,272.0
Konopelski - Mayer,2020,2020-01-01,1672.53
Konopelski Ltd,2020,2020-01-01,2229.0
"Koss, Bayer and Bartell",2020,2020-01-01,24.0
"Koss, Jaskolski and O'Connell",2020,2020-01-01,1160.82
Koss-Towne,2020,2020-01-01,2320.0
Kozey Group,2020,2020-01-01,4430.0
Krajcik Inc,2020,2020-01-01,72.0
Kreiger Group,2020,2020-01-01,3180.0
"Kreiger, Zboncak and Stehr",2020,2020-01-01,91.0
Kshlerin-Marks,2020,2020-01-01,652.0
Kuhic-Swaniawski,2020,2020-01-01,137.0
Kuhlman Inc,2020,2020-01-01,6.0
Kulas - Ryan,2020,2020-01-01,10885.82
"Kunze, O'Kon and Goldner",2020,2020-01-01,247.0
Kunze-Greenholt,2020,2020-01-01,422.0
Kunze-Pagac,2020,2020-01-01,548.49
Kuvalis Inc,2020,2020-01-01,358.0
Kuvalis-Stiedemann,2020,2020-01-01,2323.0
Labadie Ltd,2020,2020-01-01,526.0
Labadie and Sons,2020,2020-01-01,2901.0
Langworth Ltd,2020,2020-01-01,205.0
"Langworth, Lueilwitz and Wuckert",2020,2020-01-01,94.0
Larson Inc,2020,2020-01-01,1415.88
"Leannon, Kessler and Corkery",2020,2020-01-01,237.0
Leannon-Kiehn,2020,2020-01-01,2635.0
Lebsack-Price,2020,2020-01-01,439.0
"Ledner, Ebert and Gibson",2020,2020-01-01,2688.0
"Leffler, Kertzmann and Heathcote",2020,2020-01-01,2080.0
"Legros, Nader and Frost",2020,2020-01-01,4257.0
Lehner-Conroy,2020,2020-01-01,71.0
Lemke Inc,2020,2020-01-01,8183.0
"Lemke, Nitzsche and Bergstrom",2020,2020-01-01,34.0
Lesch - Johnston,2020,2020-01-01,7108.48
"Lesch, Bernhard and Hills",2020,2020-01-01,3259.0
Leuschke LLC,2020,2020-01-01,1435.0
Lind and Sons,2020,2020-01-01,1321.0
Little Group,2020,2020-01-01,17601.0
"Lowe, Kautzer and Ward",2020,2020-01-01,1517.25
"Lueilwitz, Yost and McDermott",2020,2020-01-01,2229.0
"Luettgen, Larson and Zieme",2020,2020-01-01,733.0
Luettgen-Beatty,2020,2020-01-01,1751.0
"Macejkovic, Bosco and Buckridge",2020,2020-01-01,4382.0
"Macejkovic, Zamber and Grady",2020,2020-01-01,39.0
Mackerrel-Deckow,2020,2020-01-01,1416.0
"Maggio, Hoppe and Raynor",2020,2020-01-01,886.0
Mann-Baumbach,2020,2020-01-01,70.31
Mante Inc,2020,2020-01-01,473.0
Marquardt Ltd,2020,2020-01-01,12431.0
Mauston Inc,2020,2020-01-01,118.24
Mauston and Sons,2020,2020-01-01,4221.0
Mayer LLC,2020,2020-01-01,649.0
Mayer-Parisian,2020,2020-01-01,486.0
"McClure, Howe and Pfeffer",2020,2020-01-01,2966.0
McCullough - Albertson,2020,2020-01-01,52833.75
McCullough-Reichel,2020,2020-01-01,1148.0
McDermott Group,2020,2020-01-01,79.0
"McGlynn, Huel and Goyette",2020,2020-01-01,1582.0
Medhurst-White,2020,2020-01-01,2091.0
Metz LLC,2020,2020-01-01,18548.0
Mills and Sons,2020,2020-01-01,1915.0
Moen and Sons,2020,2020-01-01,628.0
"Moen, Wuckert and Dicki",2020,2020-01-01,1572.0
